profile,scenario,variable,trials,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_memory_mb,mean_tokens,mean_cache_hit_rate
ADV5: Tool Grouping,context_scaling,256,30,138.924066666641,139.5380999997542,140.91289999942092,141.32289999997738,4.9591064453125e-05,1451,0.0
ADV5: Tool Grouping,context_scaling,512,30,138.6979366668129,139.073400000143,140.18560000022262,140.89060000060272,4.9591064453125e-05,1782,0.0
ADV5: Tool Grouping,context_scaling,1024,30,138.58927666660747,138.83229999964897,140.43330000004062,140.67139999951905,4.9591064453125e-05,2445,0.0
ADV5: Tool Grouping,server_scaling,1,30,77.63519333320801,77.72139999951833,78.08120000026975,78.50589999998192,4.9591064453125e-05,1052,0.0
ADV5: Tool Grouping,server_scaling,5,30,93.02235333337497,92.87115000051926,94.27699999923789,94.7928999994474,4.9591064453125e-05,1136,0.0
ADV5: Tool Grouping,server_scaling,10,30,92.8393433331621,92.79469999955836,93.54150000035588,94.01939999952447,4.9591064453125e-05,1241,0.0
ADV5: Tool Grouping,server_scaling,20,30,138.7164033333344,139.1951000005065,139.95040000008885,140.0255999997171,4.9591064453125e-05,1451,0.0
ADV5: Tool Grouping,server_scaling,30,30,156.75060333339084,154.8907500000496,170.03399999975954,170.1413999999204,4.9591064453125e-05,1661,0.0
ADV5: Tool Grouping,server_scaling,40,30,185.47101000006782,185.4849500000455,186.4834999996674,186.76920000052633,4.9591064453125e-05,1871,0.0
ADV5: Tool Grouping,server_scaling,50,30,231.74427999992986,232.29350000019622,233.32380000010744,233.72639999979583,8.0108642578125e-05,2081,0.0
ADV6: Priority Queue,context_scaling,64,30,92.7627266665392,92.78330000006463,93.42409999953816,93.49889999975858,2.8228759765625e-05,1202,0.0
ADV6: Priority Queue,context_scaling,128,30,91.64639000006598,92.61795000020356,93.267599999308,93.3020000002216,2.6702880859375e-05,1285,0.0
ADV6: Priority Queue,context_scaling,256,30,91.225143333304,92.5219499999912,93.74690000004193,94.03730000030919,2.6702880859375e-05,1451,0.0
ADV6: Priority Queue,context_scaling,512,30,92.17893333331328,92.63265000026877,93.88869999929739,93.91260000029433,2.6702880859375e-05,1782,0.0
ADV6: Priority Queue,context_scaling,1024,30,91.49053666663652,92.42180000001099,93.64459999960673,93.78660000038508,2.6702880859375e-05,2445,0.0
ADV6: Priority Queue,server_scaling,1,30,77.50573666662604,77.56629999994402,78.27420000012353,78.40870000018185,2.8228759765625e-05,1052,0.0
ADV6: Priority Queue,server_scaling,5,30,77.41293333344099,77.41115000044374,77.9869999996663,78.63629999974364,2.6702880859375e-05,1136,0.0
ADV6: Priority Queue,server_scaling,10,30,77.14622333332954,77.1604000001389,78.04310000028636,78.19359999939479,2.6702880859375e-05,1241,0.0
