experiment,strategy,x_value,trial,context_kb,server_count,latency_ms,peak_memory_mb,token_count
server_scaling,optimized,40,5,256,40,76.952,1.196,13108.0
server_scaling,optimized,40,6,256,40,77.440,1.196,13108.0
server_scaling,optimized,40,7,256,40,77.321,1.196,13108.0
server_scaling,optimized,40,8,256,40,62.871,1.196,13108.0
server_scaling,optimized,40,9,256,40,76.757,1.196,13108.0
server_scaling,optimized,40,10,256,40,77.125,1.196,13108.0
server_scaling,optimized,40,11,256,40,77.115,1.196,13108.0
server_scaling,optimized,40,12,256,40,77.136,1.196,13108.0
server_scaling,optimized,40,13,256,40,77.486,1.196,13108.0
server_scaling,optimized,40,14,256,40,77.088,1.196,13108.0
server_scaling,optimized,40,15,256,40,76.588,1.196,13108.0
server_scaling,optimized,40,16,256,40,77.941,1.196,13108.0
server_scaling,optimized,40,17,256,40,77.102,1.196,13108.0
server_scaling,optimized,40,18,256,40,77.315,1.196,13108.0
server_scaling,optimized,40,19,256,40,61.869,1.196,13108.0
