profile,scenario,variable,trials,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_memory_mb,mean_tokens,mean_cache_hit_rate
OPT1+2+3+4+5: Full Stack,context_scaling,64,30,106.32272999991983,108.17400000041744,109.221400000024,109.24330000034388,2.8228759765625e-05,2596,0.7
OPT1+2+3+4+5: Full Stack,context_scaling,128,30,107.14211333321752,108.04890000008527,109.02949999945122,109.24809999960416,2.6702880859375e-05,2833,0.7
OPT1+2+3+4+5: Full Stack,context_scaling,256,30,107.80678666669701,108.10670000000755,109.53459999927873,109.77019999972981,2.6702880859375e-05,3307,0.7
OPT1+2+3+4+5: Full Stack,context_scaling,512,30,108.16141666664407,108.18490000019665,108.93989999931364,109.03320000034,2.6702880859375e-05,4254,0.7
OPT1+2+3+4+5: Full Stack,context_scaling,1024,30,108.26714666682165,108.28854999999749,109.28030000013678,109.74239999995916,2.6702880859375e-05,6148,0.7
OPT1+2+3+4+5: Full Stack,server_scaling,1,30,77.42297666663944,77.47375000008105,78.24600000003556,78.26380000005884,2.8228759765625e-05,2965,0.7
OPT1+2+3+4+5: Full Stack,server_scaling,5,30,77.2855233334667,77.34355000002324,77.80559999991965,78.08350000050268,2.6702880859375e-05,3037,0.7
OPT1+2+3+4+5: Full Stack,server_scaling,10,30,77.35407666668834,77.34490000029837,78.08999999997468,78.15699999991921,2.6702880859375e-05,3127,0.7
OPT1+2+3+4+5: Full Stack,server_scaling,20,30,106.35728000009597,108.30570000007356,108.99640000025101,109.06290000002627,2.6702880859375e-05,3307,0.7
OPT1+2+3+4+5: Full Stack,server_scaling,30,30,123.75374333341824,123.77020000030825,124.76510000033159,124.85940000078699,2.6702880859375e-05,3487,0.7
OPT1+2+3+4+5: Full Stack,server_scaling,40,30,123.52658666674567,123.33859999989727,125.03770000057557,125.08250000064436,3.204345703125e-05,3667,0.7
OPT1+2+3+4+5: Full Stack,server_scaling,50,30,154.8136800000369,154.67790000002424,156.16740000041318,156.87199999956647,5.340576171875e-05,3847,0.7
OPT1+2+3+4: Incremental,context_scaling,64,30,106.70649666678098,108.0477499999688,108.91569999967032,109.75410000082775,4.9591064453125e-05,2596,0.7
OPT1+2+3+4: Incremental,context_scaling,128,30,107.75021666671212,108.19290000017645,109.01040000044304,109.63910000009491,4.9591064453125e-05,2833,0.7
OPT1+2+3+4: Incremental,context_scaling,256,30,106.8398666666629,108.10395000044082,108.94830000052025,108.9670000001206,4.9591064453125e-05,3307,0.7
OPT1+2+3+4: Incremental,context_scaling,512,30,107.29130000008809,108.21415000009438,109.20619999978953,109.26470000049449,4.9591064453125e-05,4254,0.7
OPT1+2+3+4: Incremental,context_scaling,1024,30,106.65223666652916,108.04025000061301,108.73069999979634,109.3511999997645,4.9591064453125e-05,6148,0.7
OPT1+2+3+4: Incremental,server_scaling,1,30,77.57116999991922,77.58630000034827,78.3025999999154,78.4243999996761,4.9591064453125e-05,2965,0.7
